epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,0.61755484,0.25489438,0.773625,0.11123624,0.29720482,0.09162555,0.91015625,0.048506755,-1,-1,-1,-1
1,0.38013193,0.12162703,0.8706875,0.06267908,0.22738944,0.08445454,0.929375,0.044965263,-1,-1,-1,-1
2,0.3177508,0.10664017,0.89075,0.055480715,0.19505121,0.08019164,0.9389688,0.041655097,-1,-1,-1,-1
3,0.28969702,0.10073265,0.90203124,0.05248488,0.17666787,0.0791012,0.9455938,0.03965081,-1,-1,-1,-1
4,0.26673752,0.095029,0.9117187,0.050256904,0.16225666,0.07054464,0.95215625,0.037409253,-1,-1,-1,-1
5,0.25680512,0.09444556,0.91415626,0.047915444,0.15089428,0.07269526,0.954,0.03722839,-1,-1,-1,-1
6,0.24817847,0.09666052,0.9164375,0.048911233,0.14279962,0.068630725,0.956625,0.03624806,-1,-1,-1,-1
7,0.23882523,0.09711487,0.9213125,0.049229175,0.13742608,0.068919905,0.95840627,0.035567924,-1,-1,-1,-1
8,0.23274682,0.089530334,0.9226875,0.047034357,0.13275889,0.06691546,0.96009374,0.035220716,-1,-1,-1,-1
9,0.22962849,0.09082114,0.92375,0.047909416,0.13055933,0.066285245,0.96125,0.034352265,-1,-1,-1,-1
Test error on best validation model,-1,-1,-1,-1,-1,-1,-1,-1,0.14198841,0.070833415,0.957,0.036505353
