epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,0.780334,0.26790577,0.69865626,0.1331835,0.37927374,0.12261008,0.8711875,0.05636374,-1,-1,-1,-1
1,0.4421883,0.15568124,0.8408125,0.06331626,0.2739185,0.110087544,0.908125,0.049532976,-1,-1,-1,-1
2,0.35002452,0.13781579,0.8764688,0.057983622,0.23920959,0.11144324,0.92140627,0.04596805,-1,-1,-1,-1
3,0.32113078,0.12734121,0.8858125,0.05448878,0.21060944,0.10585008,0.9307188,0.044215284,-1,-1,-1,-1
4,0.29798162,0.12965333,0.8937188,0.05438038,0.19363101,0.10073614,0.9345313,0.042320106,-1,-1,-1,-1
5,0.2859493,0.12417409,0.8985625,0.051798552,0.18588933,0.10658936,0.93859375,0.042547937,-1,-1,-1,-1
6,0.26962098,0.12205988,0.9055,0.049818262,0.17756093,0.10134386,0.9395,0.041173033,-1,-1,-1,-1
7,0.26606536,0.11813476,0.9053125,0.05134043,0.17287572,0.10080458,0.9415,0.04081226,-1,-1,-1,-1
8,0.2688487,0.12564081,0.9040313,0.052681595,0.16968773,0.09785206,0.94275,0.04013863,-1,-1,-1,-1
9,0.253093,0.11818055,0.9095625,0.050473966,0.16670129,0.098361924,0.9444375,0.03896508,-1,-1,-1,-1
Test error on best validation model,-1,-1,-1,-1,-1,-1,-1,-1,0.16810839,0.09370578,0.94346875,0.041156605
