epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,0.34466547,0.25117412,0.8845937,0.08724713,0.2528201,0.16100073,0.91565627,0.048838053,-1,-1,-1,-1
1,0.15314974,0.10892179,0.94990623,0.03762208,0.16578957,0.13439049,0.9445,0.041408595,-1,-1,-1,-1
2,0.112693235,0.089764245,0.962625,0.033447485,0.1274652,0.11816035,0.95834374,0.035768777,-1,-1,-1,-1
3,0.09839429,0.08853301,0.96765625,0.03195723,0.12103784,0.10576638,0.9596875,0.03400224,-1,-1,-1,-1
4,0.083430186,0.079221725,0.9725937,0.02957827,0.10124366,0.098969266,0.9663125,0.03099767,-1,-1,-1,-1
5,0.077795886,0.08105421,0.9736875,0.0287608,0.098108545,0.095301,0.9669688,0.030805448,-1,-1,-1,-1
6,0.068286076,0.070552565,0.97734374,0.02665196,0.0930342,0.10015124,0.96878123,0.030249596,-1,-1,-1,-1
7,0.06617162,0.06785655,0.9780313,0.025822239,0.09144728,0.100590296,0.97025,0.030709323,-1,-1,-1,-1
8,0.06463855,0.066642255,0.9779062,0.025563018,0.09129588,0.10701193,0.9706563,0.03028638,-1,-1,-1,-1
9,0.06345221,0.06487013,0.97825,0.026212474,0.087363034,0.10039409,0.9721875,0.02974337,-1,-1,-1,-1
Test error on best validation model,-1,-1,-1,-1,-1,-1,-1,-1,0.096347034,0.092245474,0.9679375,0.030988341
