epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,0.29364777,0.17306411,0.90578127,0.07588523,0.21919483,0.08356552,0.93384373,0.042931072,-1,-1,-1,-1
1,0.15653142,0.072463855,0.95303124,0.038780116,0.1490589,0.074935354,0.956,0.03675744,-1,-1,-1,-1
2,0.11494201,0.061182253,0.9653125,0.032323744,0.118019044,0.06195933,0.9655625,0.031492744,-1,-1,-1,-1
3,0.09907712,0.05621773,0.97115624,0.030507922,0.10803283,0.064040415,0.968625,0.030458476,-1,-1,-1,-1
4,0.08592262,0.05392166,0.9760625,0.027157743,0.08971246,0.05452449,0.974125,0.02813222,-1,-1,-1,-1
5,0.07629923,0.047480837,0.9785,0.025284631,0.08601714,0.053708583,0.9752188,0.02666618,-1,-1,-1,-1
6,0.071400665,0.04904203,0.980375,0.024598654,0.08190333,0.054713186,0.9762812,0.026570203,-1,-1,-1,-1
7,0.06749745,0.0460323,0.9809688,0.024208546,0.08022595,0.052643217,0.97659373,0.026699994,-1,-1,-1,-1
8,0.064476505,0.04309097,0.981375,0.023856342,0.077747986,0.054722965,0.9783437,0.025555374,-1,-1,-1,-1
9,0.06293599,0.045149263,0.9824687,0.024090467,0.07522634,0.0531991,0.9785625,0.025105326,-1,-1,-1,-1
Test error on best validation model,-1,-1,-1,-1,-1,-1,-1,-1,0.08128132,0.056696247,0.9760625,0.026502578
