epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,0.6834852,0.32498574,0.81446874,0.113283,0.48010936,0.1291822,0.86840624,0.058850303,-1,-1,-1,-1
1,0.36434633,0.120641105,0.9021875,0.05317185,0.34314865,0.1174927,0.90134376,0.0532017,-1,-1,-1,-1
2,0.26362738,0.10440592,0.9293125,0.04540783,0.28110224,0.112289615,0.919625,0.05018341,-1,-1,-1,-1
3,0.2355086,0.098601505,0.93740624,0.04251598,0.2542608,0.1049946,0.9255625,0.046119705,-1,-1,-1,-1
4,0.20060436,0.08888997,0.945375,0.03987892,0.23593645,0.10735796,0.9306875,0.046166264,-1,-1,-1,-1
5,0.18653983,0.088612095,0.9485,0.03987402,0.22302344,0.102111064,0.9346875,0.04532758,-1,-1,-1,-1
6,0.17490585,0.08505163,0.95109373,0.037704844,0.21544589,0.104587846,0.9370625,0.04408138,-1,-1,-1,-1
7,0.17523956,0.08502571,0.9495,0.03802425,0.20770974,0.10324788,0.94,0.04286607,-1,-1,-1,-1
8,0.16433533,0.08119332,0.95353127,0.036118176,0.2024552,0.10108515,0.941125,0.0422805,-1,-1,-1,-1
9,0.15934223,0.082021564,0.9550625,0.03710937,0.19871658,0.10031927,0.94228125,0.041500084,-1,-1,-1,-1
Test error on best validation model,-1,-1,-1,-1,-1,-1,-1,-1,0.22793329,0.11212919,0.93284374,0.04281135
