epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,0.37289384,0.25178626,0.8748125,0.0847674,0.22749192,0.113814205,0.9259375,0.04525427,-1,-1,-1,-1
1,0.15045974,0.10780611,0.9497188,0.038274795,0.16649975,0.14345334,0.94746876,0.03897163,-1,-1,-1,-1
2,0.10970718,0.08853887,0.96353126,0.03323553,0.13787362,0.13885105,0.95659375,0.035461236,-1,-1,-1,-1
3,0.09481447,0.08533883,0.96953124,0.031099245,0.12319125,0.12592775,0.9610625,0.033881173,-1,-1,-1,-1
4,0.082054,0.081637174,0.972875,0.030145738,0.10407106,0.09166265,0.96646875,0.031617697,-1,-1,-1,-1
5,0.077479936,0.07827136,0.9748125,0.027676351,0.09903614,0.09338543,0.96775,0.030666046,-1,-1,-1,-1
6,0.06746376,0.069732346,0.97809374,0.025302833,0.09365129,0.096169345,0.97040623,0.029879166,-1,-1,-1,-1
7,0.06606053,0.068750635,0.97778124,0.026247751,0.09169376,0.093814455,0.97046876,0.02961298,-1,-1,-1,-1
8,0.06331491,0.06393353,0.978125,0.025078002,0.09077179,0.09855921,0.9710938,0.028969523,-1,-1,-1,-1
9,0.062028717,0.06506256,0.9789375,0.025497472,0.0876214,0.09609527,0.97246873,0.029162113,-1,-1,-1,-1
Test error on best validation model,-1,-1,-1,-1,-1,-1,-1,-1,0.10520659,0.09851507,0.965625,0.031653643
