epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,0.73850954,0.27588993,0.7455625,0.1379249,0.4971939,0.08967556,0.85134375,0.061966088,-1,-1,-1,-1
1,0.42013168,0.09789272,0.8814688,0.060806356,0.36238757,0.07709927,0.9051875,0.051754795,-1,-1,-1,-1
2,0.32181287,0.076997,0.91990626,0.048533484,0.3071543,0.07237129,0.9253125,0.0477205,-1,-1,-1,-1
3,0.29074663,0.07199852,0.9285625,0.04647962,0.28087068,0.06948836,0.93184376,0.04601544,-1,-1,-1,-1
4,0.26300374,0.066965,0.93975,0.043803718,0.26134816,0.06699125,0.9398125,0.043194283,-1,-1,-1,-1
5,0.24892285,0.06378215,0.943875,0.040340155,0.25612348,0.06272153,0.9455938,0.041101996,-1,-1,-1,-1
6,0.23923483,0.062129118,0.9478125,0.039788257,0.24390008,0.062736675,0.94653124,0.040618736,-1,-1,-1,-1
7,0.2326106,0.06491618,0.9503437,0.039849315,0.23630454,0.060944367,0.9498125,0.040199257,-1,-1,-1,-1
8,0.22804767,0.05818535,0.9513438,0.038461007,0.23264617,0.06019402,0.95075,0.03840349,-1,-1,-1,-1
9,0.22774608,0.054115556,0.951375,0.03650856,0.23050489,0.058895193,0.950625,0.037676666,-1,-1,-1,-1
Test error on best validation model,-1,-1,-1,-1,-1,-1,-1,-1,0.26423067,0.06899217,0.9399375,0.041220587
